id,order_id,item_id,quantity
1,2,4,61
2,5,14,40
3,6,9,70
4,18,6,95
5,10,10,34
6,3,4,4
7,2,13,16
8,12,10,75
9,5,9,18
10,17,19,23
11,6,18,65
12,17,16,8
13,14,3,89
14,19,5,43
15,14,20,15
16,20,3,29
17,3,14,51
18,1,8,85
19,14,10,55
20,1,6,89
21,10,12,91
22,11,8,39
23,12,10,39
24,18,20,48
25,19,15,28
26,5,18,54
27,9,12,83
28,16,8,41
29,5,12,52
30,13,5,47
31,15,17,76
32,2,7,11
33,1,17,93
34,4,17,1
35,16,3,10
36,8,6,97
37,5,14,54
38,12,6,68
39,5,14,6
40,10,5,36
