id,product_title,brand_id,category_id,country_of_sales_id,unit_price_local_currency,sales_margin,size,item_type,launched_at,in_stock
1,Automated local encryption,1,3,2,642.12,0.75,M,C,2006-07-26,True
2,Team-oriented multi-state neural-net,6,2,5,443.0,-0.25,L,A,1999-05-19,True
3,Fundamental discrete time-frame,2,1,4,724.71,0.1,M,C,2023-07-27,False
4,Integrated modular Graphic Interface,2,3,5,22.24,-0.61,XL,C,2023-09-17,False
5,Total full-range interface,6,1,2,136.12,0.23,M,D,2002-06-14,False
6,Synergistic upward-trending synergy,6,3,1,571.85,-0.5,S,A,1976-03-13,False
7,Synergistic global artificial intelligence,9,3,1,143.88,0.42,L,A,2013-03-10,True
8,Optimized contextually-based alliance,1,1,4,302.09,-0.1,L,C,2014-02-25,True
9,Inverse mission-critical open system,6,2,4,18.24,0.3,XL,D,1990-01-11,False
10,Ergonomic encompassing database,1,3,1,364.4,-0.96,L,D,2009-09-23,False
11,Operative global encoding,7,3,3,376.86,0.87,M,C,2017-03-14,True
12,Monitored secondary secured line,2,5,3,724.8,0.06,M,B,2018-03-14,False
13,User-centric discrete parallelism,4,4,2,322.97,-0.77,S,C,1988-11-30,True
14,Grass-roots homogeneous budgetary management,10,1,5,723.14,-0.5,XL,B,2023-01-10,False
15,Balanced neutral website,6,1,1,483.68,0.41,L,B,2000-12-08,False
16,Virtual mission-critical circuit,3,1,3,725.56,0.88,L,B,2019-03-05,False
17,Reverse-engineered national moratorium,1,2,5,137.11,0.66,S,B,1983-07-13,False
18,Ameliorated 6thgeneration data-warehouse,4,3,1,711.6,0.52,M,C,2018-08-23,False
19,Fully-configurable even-keeled artificial intelligence,4,2,3,954.45,0.85,S,D,1995-01-27,True
20,Digitized uniform protocol,3,5,1,989.99,0.19,XL,A,1995-02-17,False
