id,buyer_id,shipping_country_id,shipping_city_id,marketplace_id,order_date,total_amount
1,5,4,1,5,2004-07-29,5088.55
2,10,2,6,10,2010-05-05,7071.46
3,2,1,3,5,1990-10-07,3035.77
4,6,3,10,6,1975-07-12,6045.81
5,6,1,4,3,1984-08-29,7468.62
6,10,4,4,10,1979-09-07,8062.68
7,4,5,2,9,1998-08-23,6919.92
8,7,5,2,7,2018-11-15,4762.6
9,5,4,3,5,2023-07-16,1087.98
10,7,3,10,2,1993-04-06,8242.22
11,5,1,6,7,1975-08-02,3601.78
12,5,4,7,6,1987-11-21,5266.5
13,6,4,10,1,2008-06-03,4161.85
14,10,1,8,6,1978-11-05,6275.54
15,8,5,10,2,1996-02-27,5894.09
16,9,4,9,4,2005-03-04,9556.54
17,10,4,5,8,1990-11-24,689.12
18,3,2,9,8,2006-05-06,7446.81
19,1,5,5,9,1991-08-30,2355.08
20,5,5,4,7,1972-03-06,4238.33
